event_id,hunter_id,event_type,event_description,event_outcome
Event_1,Hunter_969,Treasure Found,Encountered a rare animal.,Failure
Event_2,Hunter_901,Dangerous Challenge,Encountered a rare animal.,Success
Event_3,Hunter_821,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_4,Hunter_381,Animal Encounter,Encountered a hidden treasure.,Failure
Event_5,Hunter_889,Animal Encounter,Encountered a rare animal.,Success
Event_6,Hunter_468,Treasure Found,Encountered a hidden treasure.,Failure
Event_7,Hunter_302,Treasure Found,Encountered a rare animal.,Success
Event_8,Hunter_584,Treasure Found,Encountered a rare animal.,Failure
Event_9,Hunter_996,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_10,Hunter_568,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_11,Hunter_694,Treasure Found,Encountered a dangerous obstacle.,Success
Event_12,Hunter_767,Treasure Found,Encountered a rare animal.,Failure
Event_13,Hunter_271,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_14,Hunter_678,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_15,Hunter_924,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_16,Hunter_389,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_17,Hunter_371,Treasure Found,Encountered a rare animal.,Success
Event_18,Hunter_89,Dangerous Challenge,Encountered a rare animal.,Success
Event_19,Hunter_21,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_20,Hunter_247,Dangerous Challenge,Encountered a rare animal.,Success
Event_21,Hunter_213,Dangerous Challenge,Encountered a rare animal.,Success
Event_22,Hunter_406,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_23,Hunter_342,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_24,Hunter_124,Treasure Found,Encountered a hidden treasure.,Failure
Event_25,Hunter_557,Treasure Found,Encountered a hidden treasure.,Success
Event_26,Hunter_649,Treasure Found,Encountered a hidden treasure.,Success
Event_27,Hunter_223,Treasure Found,Encountered a hidden treasure.,Success
Event_28,Hunter_757,Animal Encounter,Encountered a hidden treasure.,Success
Event_29,Hunter_909,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_30,Hunter_144,Treasure Found,Encountered a rare animal.,Failure
Event_31,Hunter_8,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_32,Hunter_951,Animal Encounter,Encountered a rare animal.,Success
Event_33,Hunter_401,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_34,Hunter_197,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_35,Hunter_781,Treasure Found,Encountered a rare animal.,Failure
Event_36,Hunter_59,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_37,Hunter_652,Treasure Found,Encountered a hidden treasure.,Success
Event_38,Hunter_506,Treasure Found,Encountered a hidden treasure.,Success
Event_39,Hunter_467,Animal Encounter,Encountered a hidden treasure.,Success
Event_40,Hunter_531,Dangerous Challenge,Encountered a rare animal.,Failure
Event_41,Hunter_756,Treasure Found,Encountered a dangerous obstacle.,Success
Event_42,Hunter_57,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_43,Hunter_87,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_44,Hunter_194,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_45,Hunter_637,Treasure Found,Encountered a rare animal.,Success
Event_46,Hunter_24,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_47,Hunter_117,Animal Encounter,Encountered a rare animal.,Failure
Event_48,Hunter_654,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_49,Hunter_118,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_50,Hunter_766,Dangerous Challenge,Encountered a rare animal.,Failure
Event_51,Hunter_934,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_52,Hunter_432,Animal Encounter,Encountered a rare animal.,Failure
Event_53,Hunter_771,Animal Encounter,Encountered a hidden treasure.,Success
Event_54,Hunter_309,Treasure Found,Encountered a rare animal.,Success
Event_55,Hunter_150,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_56,Hunter_163,Treasure Found,Encountered a hidden treasure.,Failure
Event_57,Hunter_504,Treasure Found,Encountered a dangerous obstacle.,Success
Event_58,Hunter_746,Treasure Found,Encountered a hidden treasure.,Failure
Event_59,Hunter_378,Treasure Found,Encountered a hidden treasure.,Success
Event_60,Hunter_85,Dangerous Challenge,Encountered a rare animal.,Success
Event_61,Hunter_670,Treasure Found,Encountered a rare animal.,Success
Event_62,Hunter_623,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_63,Hunter_440,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_64,Hunter_253,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_65,Hunter_279,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_66,Hunter_956,Treasure Found,Encountered a rare animal.,Success
Event_67,Hunter_543,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_68,Hunter_897,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_69,Hunter_723,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_70,Hunter_44,Treasure Found,Encountered a rare animal.,Success
Event_71,Hunter_849,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_72,Hunter_497,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_73,Hunter_839,Treasure Found,Encountered a hidden treasure.,Failure
Event_74,Hunter_230,Animal Encounter,Encountered a hidden treasure.,Success
Event_75,Hunter_190,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_76,Hunter_472,Treasure Found,Encountered a dangerous obstacle.,Success
Event_77,Hunter_251,Treasure Found,Encountered a rare animal.,Failure
Event_78,Hunter_68,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_79,Hunter_220,Treasure Found,Encountered a rare animal.,Success
Event_80,Hunter_552,Dangerous Challenge,Encountered a rare animal.,Success
Event_81,Hunter_211,Treasure Found,Encountered a dangerous obstacle.,Success
Event_82,Hunter_975,Treasure Found,Encountered a rare animal.,Failure
Event_83,Hunter_934,Treasure Found,Encountered a rare animal.,Failure
Event_84,Hunter_650,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_85,Hunter_903,Animal Encounter,Encountered a rare animal.,Success
Event_86,Hunter_731,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_87,Hunter_794,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_88,Hunter_78,Dangerous Challenge,Encountered a rare animal.,Success
Event_89,Hunter_326,Treasure Found,Encountered a dangerous obstacle.,Success
Event_90,Hunter_949,Dangerous Challenge,Encountered a rare animal.,Success
Event_91,Hunter_342,Treasure Found,Encountered a hidden treasure.,Success
Event_92,Hunter_673,Treasure Found,Encountered a hidden treasure.,Failure
Event_93,Hunter_211,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_94,Hunter_17,Treasure Found,Encountered a rare animal.,Failure
Event_95,Hunter_995,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_96,Hunter_791,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_97,Hunter_299,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_98,Hunter_712,Treasure Found,Encountered a rare animal.,Success
Event_99,Hunter_921,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_100,Hunter_571,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_101,Hunter_931,Treasure Found,Encountered a hidden treasure.,Failure
Event_102,Hunter_442,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_103,Hunter_394,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_104,Hunter_482,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_105,Hunter_878,Treasure Found,Encountered a hidden treasure.,Failure
Event_106,Hunter_368,Animal Encounter,Encountered a rare animal.,Success
Event_107,Hunter_310,Treasure Found,Encountered a hidden treasure.,Success
Event_108,Hunter_374,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_109,Hunter_81,Treasure Found,Encountered a rare animal.,Success
Event_110,Hunter_95,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_111,Hunter_331,Treasure Found,Encountered a hidden treasure.,Success
Event_112,Hunter_682,Treasure Found,Encountered a dangerous obstacle.,Success
Event_113,Hunter_354,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_114,Hunter_185,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_115,Hunter_168,Animal Encounter,Encountered a hidden treasure.,Failure
Event_116,Hunter_672,Animal Encounter,Encountered a rare animal.,Success
Event_117,Hunter_192,Treasure Found,Encountered a rare animal.,Success
Event_118,Hunter_703,Animal Encounter,Encountered a hidden treasure.,Failure
Event_119,Hunter_984,Treasure Found,Encountered a rare animal.,Success
