event_id,timestamp,hunter_id,terrain_type,event_type,animal_id,damage,calories_burned,voice_msg,hunt_result,is_danger,energy_category
E-10000,2025-04-17 08:53:00,H-1036,Tundra,bike_travel,,0,770,Mission success.,None,False,High
E-10001,2025-04-01 20:13:00,H-1165,Canyon,injured,,91,680,Nice shot!,None,True,High
E-10002,2025-06-08 14:44:00,H-1417,Forest,hunt_failed,A-264,0,766,Scan complete.,Failed,False,High
E-10003,2025-06-07 09:26:00,H-1294,Mountains,bike_travel,,0,913,Low health warning!,None,False,High
E-10004,2025-05-02 00:59:00,H-1959,Jungle,injured,,86,219,Scan complete.,None,True,Medium
E-10005,2025-06-05 19:43:00,H-1606,Forest,injured,,89,517,Enemy nearby!,None,True,Medium
E-10006,2025-06-08 23:21:00,H-1240,City Ruins,hunt_success,A-164,0,722,Mission success.,Success,False,High
E-10007,2025-04-25 03:05:00,H-1691,Desert,bike_travel,,0,969,Be careful!,None,False,High
E-10008,2025-05-30 17:45:00,H-1400,Canyon,bike_travel,,0,381,Mission success.,None,False,Medium
E-10009,2025-04-21 15:59:00,H-1103,Savanna,injured,,28,812,Mission success.,None,False,High
E-10010,2025-05-23 11:14:00,H-1233,Desert,bike_travel,,0,205,Scan complete.,None,False,Medium
E-10011,2025-06-01 13:58:00,H-1845,Tundra,hunt_failed,A-182,0,681,Mission success.,Failed,False,High
E-10012,2025-05-09 03:32:00,H-1680,City Ruins,hunt_success,A-844,0,821,Be careful!,Success,False,High
E-10013,2025-04-29 02:16:00,H-1646,Jungle,bike_travel,,0,505,Stay alert!,None,False,Medium
E-10014,2025-05-06 04:59:00,H-1511,Desert,injured,,50,617,Low health warning!,None,False,High
E-10015,2025-05-18 01:43:00,H-1393,Swamp,hunt_failed,A-770,0,413,Mission success.,Failed,False,Medium
E-10016,2025-04-01 12:08:00,H-1476,Desert,hunt_failed,A-955,0,448,Low health warning!,Failed,False,Medium
E-10017,2025-04-26 13:45:00,H-1406,Swamp,encounter,A-810,0,674,Be careful!,None,False,High
E-10018,2025-05-09 17:02:00,H-1586,Savanna,hunt_success,A-217,0,737,Mission success.,Success,False,High
E-10019,2025-05-01 01:16:00,H-1292,Volcanic Zone,encounter,A-328,0,883,Nice shot!,None,False,High
E-10020,2025-05-28 13:01:00,H-1012,Tundra,bike_travel,,0,650,Low health warning!,None,False,High
E-10021,2025-04-21 00:17:00,H-1325,Canyon,encounter,A-782,0,342,Be careful!,None,False,Medium
E-10022,2025-05-28 14:44:00,H-1853,Desert,bike_travel,,0,196,Low health warning!,None,False,Low
E-10023,2025-05-23 00:37:00,H-1532,Canyon,bike_travel,,0,485,Be careful!,None,False,Medium
E-10024,2025-06-07 13:30:00,H-1761,Volcanic Zone,hunt_failed,A-388,0,549,Enemy nearby!,Failed,False,Medium
E-10025,2025-04-08 07:47:00,H-1419,Mountains,bike_travel,,0,895,Enemy nearby!,None,False,High
E-10026,2025-04-11 01:37:00,H-1031,Canyon,hunt_success,A-369,0,55,Mission success.,Success,False,Low
E-10027,2025-05-21 19:54:00,H-1631,Jungle,bike_travel,,0,251,Low health warning!,None,False,Medium
E-10028,2025-05-18 01:12:00,H-1280,Swamp,hunt_failed,A-674,0,201,Be careful!,Failed,False,Medium
E-10029,2025-05-25 10:38:00,H-1354,Mountains,encounter,A-610,0,384,Mission success.,None,False,Medium
E-10030,2025-04-02 20:21:00,H-1997,Swamp,injured,,52,815,Nice shot!,None,True,High
E-10031,2025-05-23 15:33:00,H-1532,Canyon,hunt_success,A-415,0,999,Mission success.,Success,False,High
E-10032,2025-04-08 20:16:00,H-1632,Jungle,injured,,93,664,Be careful!,None,True,High
E-10033,2025-04-28 01:07:00,H-1286,Mountains,injured,,99,209,Enemy nearby!,None,True,Medium
