hunter_id,travel_id,from_realm,to_realm,timestamp
H-1390,T1000,Forest,Mountain,2025-04-22 11:48:15.954128
H-1672,T1001,Forest,Jungle,2025-05-02 06:48:15.955130
H-1162,T1002,Desert,Forest,2025-05-19 00:48:15.955194
H-1705,T1003,Desert,Forest,2025-05-30 06:48:15.955233
H-1810,T1004,Desert,Jungle,2025-05-14 03:48:15.955265
H-1199,T1005,Arctic,Forest,2025-05-21 20:48:15.955312
H-1914,T1006,Forest,Mountain,2025-05-25 22:48:15.955343
H-1971,T1007,Forest,Desert,2025-05-12 01:48:15.955367
H-1434,T1008,Jungle,Desert,2025-05-31 00:48:15.955391
H-1079,T1009,Jungle,Arctic,2025-05-10 23:48:15.955415
H-1843,T1010,Mountain,Desert,2025-05-25 02:48:15.955439
H-1528,T1011,Mountain,Desert,2025-05-09 14:48:15.955465
H-1181,T1012,Arctic,Forest,2025-04-24 17:48:15.955489
H-1533,T1013,Forest,Desert,2025-05-07 12:48:15.955512
H-1136,T1014,Arctic,Forest,2025-05-08 09:48:15.955536
H-1891,T1015,Mountain,Jungle,2025-04-29 17:48:15.955559
H-1645,T1016,Forest,Jungle,2025-05-12 13:48:15.955583
H-1022,T1017,Desert,Forest,2025-04-21 13:48:15.955606
H-1089,T1018,Mountain,Jungle,2025-05-24 13:48:15.955630
H-1301,T1019,Jungle,Mountain,2025-05-26 03:48:15.955653
H-1889,T1020,Arctic,Desert,2025-05-19 13:48:15.955676
H-1719,T1021,Jungle,Mountain,2025-04-27 15:48:15.955699
H-1294,T1022,Arctic,Desert,2025-05-05 13:48:15.955722
H-1864,T1023,Arctic,Jungle,2025-05-03 18:48:15.955744
H-1649,T1024,Desert,Forest,2025-04-22 12:48:15.955766
H-1339,T1025,Arctic,Jungle,2025-05-06 06:48:15.955788
H-1481,T1026,Jungle,Forest,2025-05-19 13:48:15.955815
H-1952,T1027,Arctic,Mountain,2025-04-25 19:48:15.955839
H-1189,T1028,Desert,Forest,2025-05-20 22:48:15.955862
H-1210,T1029,Arctic,Jungle,2025-04-27 17:48:15.955885
H-1038,T1030,Arctic,Desert,2025-05-10 10:48:15.955908
H-1438,T1031,Arctic,Desert,2025-04-22 19:48:15.955930
H-1677,T1032,Arctic,Jungle,2025-05-20 11:48:15.955953
H-1198,T1033,Mountain,Desert,2025-05-31 14:48:15.955975
H-1688,T1034,Desert,Mountain,2025-05-13 17:48:15.955998
H-1552,T1035,Arctic,Jungle,2025-05-02 10:48:15.956020
H-1573,T1036,Jungle,Mountain,2025-05-20 05:48:15.956042
H-1497,T1037,Arctic,Jungle,2025-05-08 22:48:15.956064
H-1489,T1038,Jungle,Mountain,2025-05-16 17:48:15.956085
H-1335,T1039,Jungle,Forest,2025-05-15 04:48:15.956107
H-1689,T1040,Forest,Arctic,2025-05-10 12:48:15.956129
H-1037,T1041,Desert,Jungle,2025-05-14 09:48:15.956152
H-1249,T1042,Forest,Arctic,2025-05-03 03:48:15.956173
H-1184,T1043,Mountain,Arctic,2025-04-22 19:48:15.956195
H-1977,T1044,Desert,Jungle,2025-05-02 16:48:15.956218
H-1632,T1045,Desert,Mountain,2025-05-12 03:48:15.956239
H-1128,T1046,Jungle,Mountain,2025-05-14 05:48:15.956261
H-1032,T1047,Forest,Mountain,2025-05-14 18:48:15.956282
H-1823,T1048,Forest,Desert,2025-05-22 15:48:15.956303
H-1296,T1049,Jungle,Desert,2025-05-10 14:48:15.956324
H-1519,T1050,Jungle,Mountain,2025-04-26 12:48:15.956345
H-1943,T1051,Desert,Forest,2025-05-17 08:48:15.956367
H-1940,T1052,Mountain,Forest,2025-05-03 07:48:15.956388
H-1202,T1053,Forest,Arctic,2025-05-21 04:48:15.956412
H-1315,T1054,Jungle,Desert,2025-05-30 06:48:15.956434
H-1017,T1055,Jungle,Forest,2025-05-19 15:48:15.956456
H-1472,T1056,Desert,Forest,2025-05-30 21:48:15.956478
H-1736,T1057,Jungle,Mountain,2025-05-21 01:48:15.956502
H-1949,T1058,Arctic,Desert,2025-04-23 00:48:15.956524
H-1092,T1059,Desert,Forest,2025-05-27 09:48:15.956546
H-1829,T1060,Mountain,Jungle,2025-05-21 09:48:15.956567
H-1279,T1061,Forest,Arctic,2025-05-25 04:48:15.956589
H-1988,T1062,Arctic,Desert,2025-05-02 14:48:15.956612
H-1994,T1063,Mountain,Jungle,2025-04-29 21:48:15.956633
H-1306,T1064,Arctic,Mountain,2025-05-07 21:48:15.956655
H-1430,T1065,Forest,Desert,2025-05-07 05:48:15.956681
H-1719,T1066,Jungle,Desert,2025-05-24 01:48:15.956703
H-1872,T1067,Mountain,Jungle,2025-05-26 20:48:15.956725
H-1078,T1068,Desert,Mountain,2025-05-02 07:48:15.956746
H-1556,T1069,Arctic,Mountain,2025-05-08 11:48:15.956768
H-1508,T1070,Forest,Desert,2025-05-15 18:48:15.956789
H-1661,T1071,Jungle,Forest,2025-05-27 00:48:15.956810
H-1991,T1072,Mountain,Desert,2025-05-25 17:48:15.956831
H-1422,T1073,Mountain,Jungle,2025-04-30 01:48:15.956853
H-1278,T1074,Jungle,Arctic,2025-04-28 00:48:15.956874
H-1617,T1075,Arctic,Desert,2025-05-03 12:48:15.956896
H-1713,T1076,Jungle,Arctic,2025-04-27 06:48:15.956917
H-1738,T1077,Arctic,Mountain,2025-05-27 03:48:15.956943
H-1966,T1078,Arctic,Desert,2025-04-22 06:48:15.956992
H-1749,T1079,Forest,Jungle,2025-05-21 07:48:15.957015
H-1993,T1080,Jungle,Arctic,2025-05-13 17:48:15.957037
H-1431,T1081,Mountain,Arctic,2025-04-21 05:48:15.957059
H-1498,T1082,Forest,Arctic,2025-05-25 14:48:15.957081
H-1815,T1083,Jungle,Desert,2025-05-05 22:48:15.957103
H-1219,T1084,Arctic,Jungle,2025-05-21 02:48:15.957124
H-1900,T1085,Arctic,Desert,2025-05-24 07:48:15.957146
H-1403,T1086,Mountain,Jungle,2025-04-25 11:48:15.957167
H-1273,T1087,Jungle,Mountain,2025-05-03 18:48:15.957189
H-1046,T1088,Mountain,Desert,2025-05-01 19:48:15.957211
H-1343,T1089,Jungle,Mountain,2025-05-15 09:48:15.957232
H-1219,T1090,Mountain,Forest,2025-05-15 12:48:15.957253
H-1331,T1091,Arctic,Jungle,2025-04-30 15:48:15.957275
H-1062,T1092,Arctic,Desert,2025-05-31 17:48:15.957297
H-1147,T1093,Jungle,Arctic,2025-05-23 08:48:15.957321
H-1821,T1094,Desert,Jungle,2025-05-14 16:48:15.957342
H-1265,T1095,Mountain,Jungle,2025-04-21 15:48:15.957364
H-1647,T1096,Forest,Mountain,2025-05-26 14:48:15.957385
H-1699,T1097,Jungle,Arctic,2025-05-28 21:48:15.957407
H-1438,T1098,Mountain,Arctic,2025-05-05 21:48:15.957429
H-1538,T1099,Arctic,Forest,2025-05-04 11:48:15.957451
H-1354,T1100,Forest,Jungle,2025-05-13 22:48:15.957473
H-1152,T1101,Mountain,Desert,2025-05-30 04:48:15.957494
H-1124,T1102,Arctic,Forest,2025-05-29 03:48:15.957516
H-1587,T1103,Jungle,Arctic,2025-05-30 03:48:15.957537
H-1999,T1104,Forest,Desert,2025-05-10 20:48:15.957559
H-1142,T1105,Forest,Desert,2025-05-05 17:48:15.957580
H-1103,T1106,Arctic,Desert,2025-05-25 05:48:15.957602
H-1077,T1107,Forest,Jungle,2025-04-27 19:48:15.957624
H-1647,T1108,Desert,Forest,2025-04-28 21:48:15.957645
H-1423,T1109,Jungle,Mountain,2025-05-15 18:48:15.957669
H-1334,T1110,Desert,Forest,2025-04-27 03:48:15.957690
H-1874,T1111,Mountain,Arctic,2025-05-26 18:48:15.957711
H-1751,T1112,Mountain,Desert,2025-05-10 01:48:15.957732
H-1462,T1113,Jungle,Mountain,2025-05-08 15:48:15.957756
H-1410,T1114,Forest,Mountain,2025-05-23 02:48:15.957777
H-1152,T1115,Desert,Forest,2025-04-26 19:48:15.957800
H-1365,T1116,Desert,Jungle,2025-05-19 05:48:15.957821
H-1045,T1117,Forest,Jungle,2025-04-29 17:48:15.957842
H-1419,T1118,Arctic,Forest,2025-05-09 04:48:15.957864
H-1091,T1119,Mountain,Forest,2025-04-27 11:48:15.957885
H-1426,T1120,Arctic,Jungle,2025-04-21 18:48:15.957909
H-1478,T1121,Mountain,Desert,2025-05-02 22:48:15.957931
H-1275,T1122,Jungle,Mountain,2025-04-28 21:48:15.957953
H-1071,T1123,Forest,Arctic,2025-04-24 06:48:15.957974
H-1674,T1124,Forest,Mountain,2025-05-25 14:48:15.957995
H-1086,T1125,Mountain,Jungle,2025-05-07 02:48:15.958017
H-1103,T1126,Forest,Jungle,2025-04-28 11:48:15.958039
H-1694,T1127,Arctic,Desert,2025-05-25 06:48:15.958060
H-1123,T1128,Jungle,Arctic,2025-05-18 20:48:15.958082
H-1509,T1129,Jungle,Forest,2025-05-31 08:48:15.958106
H-1467,T1130,Mountain,Forest,2025-05-02 01:48:15.958127
H-1021,T1131,Forest,Jungle,2025-05-28 14:48:15.958149
H-1301,T1132,Mountain,Arctic,2025-04-29 15:48:15.958171
H-1901,T1133,Desert,Jungle,2025-05-24 18:48:15.958193
H-1367,T1134,Mountain,Jungle,2025-05-01 22:48:15.958214
H-1902,T1135,Arctic,Jungle,2025-05-19 14:48:15.958235
H-1220,T1136,Mountain,Jungle,2025-05-15 17:48:15.958257
H-1155,T1137,Arctic,Forest,2025-05-28 13:48:15.958279
H-1977,T1138,Desert,Forest,2025-04-27 11:48:15.958300
H-1520,T1139,Arctic,Jungle,2025-05-22 05:48:15.958323
H-1090,T1140,Forest,Desert,2025-05-28 11:48:15.958344
H-1303,T1141,Mountain,Arctic,2025-04-22 16:48:15.958365
H-1716,T1142,Jungle,Desert,2025-05-07 08:48:15.958386
H-1427,T1143,Mountain,Jungle,2025-04-27 00:48:15.958408
H-1864,T1144,Jungle,Forest,2025-05-10 19:48:15.958429
H-1193,T1145,Mountain,Desert,2025-05-23 02:48:15.958451
H-1922,T1146,Arctic,Mountain,2025-05-21 19:48:15.958472
H-1403,T1147,Jungle,Arctic,2025-05-28 00:48:15.958493
H-1932,T1148,Desert,Forest,2025-05-16 10:48:15.958514
H-1230,T1149,Forest,Jungle,2025-05-29 14:48:15.958538
H-1648,T1150,Desert,Forest,2025-05-25 06:48:15.958559
H-1343,T1151,Jungle,Forest,2025-05-31 03:48:15.958580
H-1888,T1152,Jungle,Forest,2025-05-19 06:48:15.958602
H-1874,T1153,Forest,Mountain,2025-04-29 18:48:15.958623
H-1771,T1154,Mountain,Jungle,2025-05-31 13:48:15.958644
H-1250,T1155,Desert,Forest,2025-05-08 05:48:15.958666
H-1158,T1156,Jungle,Forest,2025-05-31 22:48:15.958687
H-1620,T1157,Arctic,Jungle,2025-05-14 09:48:15.958709
H-1892,T1158,Jungle,Forest,2025-05-26 04:48:15.958730
