hunter_id,day,terrain_visited,animals_hunted,health,stamina,fame,money_earned,experience_points
H0001,1,Mountain,2,79,47,20,1738,20
H0001,2,Jungle,5,67,66,55,935,70
H0001,3,Arctic,5,77,66,125,1050,120
H0001,4,Tundra,1,93,61,130,946,130
H0001,5,Swamp,5,62,100,165,2725,180
H0001,6,Jungle,4,78,84,189,656,220
H0001,7,Savanna,0,100,59,189,0,220
H0001,8,Swamp,5,72,72,254,1190,270
H0001,9,Swamp,3,76,58,293,315,300
H0001,10,Arctic,2,73,77,317,618,320
H0001,11,Mountain,0,73,55,317,0,320
H0001,12,Mountain,4,86,51,361,904,360
H0001,13,Mountain,0,81,92,361,0,360
H0001,14,Savanna,2,76,69,373,550,380
H0001,15,Mountain,5,63,86,448,2985,430
H0001,16,Tundra,2,52,33,470,1240,450
H0001,17,Tundra,1,86,73,479,765,460
H0001,18,Swamp,2,59,96,505,296,480
H0001,19,Arctic,1,60,88,514,290,490
H0001,20,Volcanic,3,59,65,559,1599,520
H0001,21,Savanna,5,100,52,594,2835,570
H0001,22,Mountain,0,72,65,594,0,570
H0001,23,Jungle,2,84,63,616,1706,590
H0001,24,Savanna,4,65,35,664,1820,630
H0001,25,Swamp,0,51,79,664,0,630
H0001,26,Desert,4,72,91,724,3744,670
H0001,27,Jungle,3,52,76,751,2178,700
H0001,28,Desert,5,76,93,776,3445,750
H0001,29,Urban Ruins,1,69,55,791,836,760
H0001,30,Savanna,5,87,65,821,650,810
H0001,31,Rainforest,4,65,59,845,3996,850
H0001,32,Rainforest,4,82,50,897,2076,890
H0001,33,Mountain,1,61,58,910,936,900
H0001,34,Volcanic,5,71,31,985,895,950
H0001,35,Jungle,2,97,42,1009,1542,970
H0001,36,Desert,4,55,92,1037,2364,1010
H0001,37,Urban Ruins,2,63,30,1059,892,1030
H0001,38,Swamp,5,51,67,1114,2825,1080
H0001,39,Arctic,2,91,39,1134,1906,1100
H0001,40,Savanna,2,53,59,1156,1622,1120
H0001,41,Savanna,2,63,93,1178,650,1140
H0001,42,Swamp,5,95,55,1223,1435,1190
